,Date,Home Team,Score,Away Team
386,2023-11-03,Juventude,2–1,Ituano
387,2023-11-03,Londrina,0–0,Guarani
388,2023-11-05,Vitória,1–1,Vila Nova
389,2023-11-07,CRB,3–2,Chapecoense
390,2023-11-07,Criciúma,1–0,ABC
392,2023-11-10,Vila Nova,4–1,Londrina
393,2023-11-11,Ituano,2–1,Sampaio Corrêa
394,2023-11-11,Avaí,1–1,CRB
395,2023-11-11,Chapecoense,2–0,Botafogo (SP)
396,2023-11-11,Tombense Futebol Clube,0–1,Ponte Preta
397,2023-11-10,Sport Recife,0–0,Atl Goianiense
398,2023-11-12,Ceará,2–0,Mirassol Futebol Clube
399,2023-11-12,Grêmio Novorizontino,1–2,Vitória
400,2023-11-14,Guarani,1–1,Criciúma
401,2023-11-14,ABC,0–0,Juventude
403,2023-11-17,Ituano,0–0,Chapecoense
404,2023-11-18,Criciúma,3–0,Botafogo (SP)
405,2023-11-18,Juventude,0–0,Ponte Preta
406,2023-11-18,Vitória,1–0,Sport Recife
407,2023-11-18,Vila Nova,3–1,Ceará
408,2023-11-18,Mirassol Futebol Clube,4–1,Atl Goianiense
409,2023-11-17,Londrina,0–1,Grêmio Novorizontino
410,2023-11-19,Guarani,2–3,ABC
411,2023-11-19,CRB,2–0,Tombense Futebol Clube
412,2023-11-20,Sampaio Corrêa,4–0,Avaí
414,2023-11-25,Botafogo (SP),0–1,Londrina
415,2023-11-25,Sport Recife,4–1,Sampaio Corrêa
416,2023-11-25,ABC,3–2,Vila Nova
417,2023-11-25,Chapecoense,3–1,Vitória
418,2023-11-25,Ponte Preta,3–0,CRB
419,2023-11-25,Atl Goianiense,3–0,Guarani
420,2023-11-25,Grêmio Novorizontino,2–0,Criciúma
421,2023-11-25,Avaí,0–0,Ituano
422,2023-11-25,Tombense Futebol Clube,0–1,Mirassol Futebol Clube
423,2023-11-25,Ceará,1–3,Juventude
